# Alert SMARTS patterns selected to be used as filters
Alert Name,Alert SMARTS
ALERT_SCMT_aryloxyCH2ket,CC(=O)[C&X2]-!@Oc
ALERT_SCMT_azo,C=[N!r][N!r]=C
ALERT_SCMT_b_lactams_1,S1(CCN4(C(CC41)=O))
ALERT_SCMT_b_lactams_2,S1(CC=CN5(C(CC51)=O))
ALERT_SCMT_biotin,[S;X2]1[CH2][CH]2[CH]([CH]1)[NH]C([NH]2)=O
ALERT_SCMT_di_iminoamine,C(=N)-!@N-!@C(=N)
ALERT_SCMT_disulfide,*[S&D2!r][S&D2!r]*
ALERT_SCMT_hydrazine,*~[N!H0]!@[N!H0]~*
ALERT_SCMT_lipo_tail,[C&D2][C&D2][C&D2][C&D2][C&D2][C&D2][C&D2][C&D2][C&D2][C&v4&D1]
ALERT_SCMT_pAminoaryl_diazo,Nc1aaa(N!@=N)aa1
ALERT_SCMT_pyridinium,C[n+1]2ccccc2
ALERT_SCMT_tetra_sub_amine,[N+1&X4;H0]
ALERT_SCMT_thioester_1,"CC(=[S,O])-!@[S&D2]*"
ALERT_SCMT_thioester_2,CC(=S)-!@O*
ALERT_SCMT_thiol,[SX2H1]
ALERT_SCMT_tritiated,[3#1]
ALERT_PAINS_a_ene_rhod_A,N1C(=S)SC(=C)C1=O
ALERT_PAINS_a_ene_six_het_A,"C1([#6](~[!#6]~[#6][!#6][#6]1=,:[!#6])~[!#1;!#6])=[C;!R;H,H2]"
ALERT_PAINS_a_hzone_phenol_A,c1ccc(c(c1)[OH])C=N[#7]
ALERT_PAINS_a_imine_one_A,"[#6]C(=[!C;!R])C(=[!C;!R])[#6,$(S(=O)=O)]"
ALERT_PAINS_a_imine_one_isatin,O=C2C(=!@N[#7])c1c(cccc1)N2
ALERT_PAINS_b_anil_di_alk_furan_A,"N([C;H2,H3])([C;H2,H3])c1oc([#6]=,:[#7][#7;H][#6]=,:[!#6])[cH][cH]1"
ALERT_PAINS_b_anthranil_acid_A,c1(C(=O)[OH])c([NH]N=C)cccc1
ALERT_PAINS_b_anthranil_one_A,"c1c(c(ccc1)C(cc)=O)[NH2,$([NH1](c)[!$(C=O)])]"
ALERT_PAINS_b_cyano_cyano_A,"C(C#N)(C#N)C([$(C#N),$(C=N)])C#N"
ALERT_PAINS_b_cyano_ene_amine_A,C(C#N)(C#N)C([NH2])=CC#N
ALERT_PAINS_b_cyano_imine_B,C(C#N)(C#N)=N[NH]c1ccccc1
ALERT_PAINS_b_dhp_bis_amino_CN,[NH2]C1=C(C#N)[CH](cc)C(C#N)=C([NH2])S1
ALERT_PAINS_b_dyes3A,"[#7+](cc)=,:[#6][CH]=CN([CX4])[#6]"
ALERT_PAINS_b_ene_cyano_A,C(C#N)(C#N)=Cc1ccccc1
ALERT_PAINS_b_ene_five_het_B,C1(=C)C(N=CS1)=O
ALERT_PAINS_b_ene_five_het_C,C1(C(C=C[!C]1)=C)=[!C]
ALERT_PAINS_b_ene_five_het_D,C1(=C)C(=O)NNC1=O
ALERT_PAINS_b_ene_five_het_E,[#7]C=!@C2C(=O)c1c(cccc1)[!C]2
ALERT_PAINS_b_ene_five_het_F,c1(ccccc1)[CH]=!@C3C(=O)c2c(cccc2)S3
ALERT_PAINS_b_ene_five_one_A,c12ccccc1C(=O)C(=C)C2=O
ALERT_PAINS_b_ene_one_ene_A,C=!@C([!#1])-@C(=!@[!C])-@C(=!@C)[!#1]
ALERT_PAINS_b_ene_one_ester,[#6]C(=O)[CH]=C([NH][#6])C(=O)O[#6]
ALERT_PAINS_b_het_6_tetrazine,"[#7]~c1[$(nn),$(n[cH]),$(nc[#7;H,H2]),$(c([#7])n),$(c([#7])[cH]),$(c([#7])c[#7;H,H2])][n,cH,$(c[#7;H,H2])]c([#7H,#7H2,$(O[C;H2,H3])])nn1"
ALERT_PAINS_b_hzone_acyl_naphthol,c12c([cH][cH][cH][cH]1)[cH]c(c([cH]2)[OH])C(=O)[NH]N=C
ALERT_PAINS_b_hzone_anil_di_alk,"[C;H2,H3]N([C;H2,H3])c1[cH][cH]c([CH]=NN[$(C(=O)[CH2]Scn),$(C(=O)[CH2]aan),$(C(=O)cc[OH]),$(cn),$([CH2][C;H,H2][OH])])[cH][cH]1"
ALERT_PAINS_b_hzone_pipzn,[#6]N1[CH2][CH2]N([CH2][CH2]1)N=[CH]ca
ALERT_PAINS_b_imine_one_fives,C1C(=[!C;!R])C(=O)[!C]*=1
ALERT_PAINS_b_imine_one_sixes,C1(C(=O)NC(=O)NC(=O)1)=N
ALERT_PAINS_b_keto_keto_beta_A,c12ccccc1C(=O)[CX4]C2=O
ALERT_PAINS_b_naphth_amino_B,c1ccc3c2c(cccc12)[NH][CX4][NH]3
ALERT_PAINS_b_pyrrole_A,n2(c1acccc1)c([CX4])c[cH]c2[CX4]
ALERT_PAINS_b_rhod_sat_A,N1C(=S)S[CX4]C1=O
ALERT_PAINS_b_sulfonamide_B,c1c(ccc(c1)[NH]S(=O)=O)[OH]
ALERT_PAINS_b_thiaz_ene_A,"c1([CH2,$(cc)])[cH,$(c[CH2,CH3]),$(cC=O)]sc([nH,$(n[CH,CH2,CH3]),$(n(cc)cc)]1)=[N;!R]"
ALERT_PAINS_b_thiaz_ene_B,"c1([$([#7][#6](=O)cc),NH2])c(-!@C(=O)N[C;H2,H3])sc(n1[$([CH2][CH]=[CH2]),$(cc)])=S"
ALERT_PAINS_b_thio_carbonate_A,"o1c(sc2cc(ccc12)[#7,#8])=[O,S]"
ALERT_PAINS_b_thio_dibenzo,S=c1cc[!#6]cc1
ALERT_PAINS_b_thio_ketone,[#6][#6](=S)[#6]
ALERT_PAINS_b_thiophene_amino_Aa,[NH2]c1sc([!#1])c([!#1])c1C=O
ALERT_PAINS_c_amino_acridine_Ac,c1cccc2c1cc3c(n2)nc4c(c3[#7])cccc4
ALERT_PAINS_c_anil_NH_no_alk_B,"[NH2]c1c([NH]S(=O)=O)[cH]c([NH][C;H2,H3])c([F,Cl,Br,I])[cH]1"
ALERT_PAINS_c_anil_OC_alk_A,"c13[cH][cH][cH][cH]c1oc2[cH]c([NH][C;H2,H3])c(O[C;H2,H3])[cH]c23"
ALERT_PAINS_c_anil_OC_alk_B,"c1ccccc1N3C(=O)C([NH]c2ccc(O[C;H2,H3])cc2)=C([F,Cl,Br,I])C3=O"
ALERT_PAINS_c_anil_OC_alk_F,"[C;H2,H3]Oc1[cH][cH][cH][cH]c1[NH][CH](C=O)S"
ALERT_PAINS_c_anil_OH_no_alk_A,[NH2]c1c([OH])cc(S(=O)(=O)[OH])cc1
ALERT_PAINS_c_anil_OH_no_alk_B,c2([NH2])c([OH])c(C=O)[cH]c1[cH][cH][cH][cH]c12
ALERT_PAINS_c_anil_alk_thio,c13c(C(Nc2c1cccc2)([#6])[#6])ssc3=*
ALERT_PAINS_c_anil_di_alk_F,"c1c(ccc([NH2,$([NH][CX4]),$([N]([CX4])[CX4])])c1)[CX4]c2ccc(cc2)[NH2,$([NH][CX4]),$([N]([CX4])[CX4])]"
ALERT_PAINS_c_anil_di_alk_J,"[C;H2,H3]N([C;H2,H3])c1[cH][cH]c([CH]=NN=C([#6])cc)[cH][cH]1"
ALERT_PAINS_c_anil_di_alk_M,[cH]1c([cH]nc2c1[cH][cH][cH][cH]2)[CH2]N3c4c([CH2][CH2]3)[cH][cH][cH][cH]4
ALERT_PAINS_c_anil_di_alk_O,"[cH]2c([NH]C(=S)[NH]c1ccccc1)[cH]c(N([C;H2,H3])[C;H2,H3])[cH][cH]2"
ALERT_PAINS_c_anil_di_alk_dhp,"N3C=C(C=O)C(c1ccc(N([C;H2,H3])[C;H2,H3])cc1)[#6]2=,:[#6]3~[#7]~[#6](~[#16])~[#7]~[#6](~[#7])~2"
ALERT_PAINS_c_anil_di_alk_furan_B,"[C;H2,H3]N([C;H2,H3])c1[cH][cH]c(o1)[CH]=CC#N"
ALERT_PAINS_c_anil_no_alk_A,[NH2]c2c(N=C1[CH]=[#6]~[#6]~[#6]=C1)[cH][cH][cH][cH]2
ALERT_PAINS_c_anil_no_alk_C,"[NH2]c1[cH][cH]c([cH][cH]1)c2[cH]c(C=O)c([C;H2,H3])o2"
ALERT_PAINS_c_anisol_A,"c1(O[C;H2,H3])[cH,$(c[C;H2,H3])][cH]c(O[C;H2,H3])c([CH2][$([NH]C(=O)[CH2][CH2][C;H2,H3]),$([CH]([C;H2,H3])[NH]C(=S)[N;H,H2])])[cH]1"
ALERT_PAINS_c_anthranil_acid_C,"c2(c([NH2])n(c1c(cccc1)C(=O)[OH])nc2C=O)[$(C#N),$(C=S)]"
ALERT_PAINS_c_anthranil_acid_D,c12ncccc1c([NH2])c(C(=O)~[OX1])s2
ALERT_PAINS_c_anthranil_acid_E,C3(=O)C(=[CH][NH]c1c(C(=O)[OH])cccc1)N=C(c2ccccc2)O3
ALERT_PAINS_c_anthranil_acid_F,c1([OH])ccc([NH]C(=O)cc)c(c1)C(=O)[OH]
ALERT_PAINS_c_anthranil_acid_I,c1(oc([#6])[cH][cH]1)C(=O)[NH]c2[cH][cH][cH][cH]c2C(=O)[OH]
